Protein,Label
P43234,Negative
P43243,Negative
P43251,Negative
P43487,Negative
P43652,Negative
P43686,Negative
P45381,Negative
P45877,Negative
P45974,Negative
P46098,Negative
P46108,Negative
P46459,Negative
P46531,Negative
P46777,Negative
P46778,Negative
P46821,Negative
P46926,Negative
P46939,Negative
P46976,Negative
P47756,Negative
P47972,Negative
P47992;Q9UBD3,Negative
P48058,Negative
P48059,Negative
P48061,Negative
P48066,Negative
P48147,Negative
P48163,Negative
P48357,Negative
P48539,Negative
P48551,Negative
P48634,Negative
P48637,Negative
P48668,Negative
P48723,Negative
P48740,Negative
P48745,Negative
P48960,Negative
P49006,Negative
P49184,Negative
P49189,Negative
P49257,Negative
P49327,Negative
P49368,Negative
P49406,Negative
P49411,Negative
P49418,Negative
P49441,Negative
P49585;Q9Y5K3,Negative
P49588,Negative
P49593,Negative
P49641,Negative
P49721,Negative
P49746,Negative
P49747,Negative
P49767,Negative
P49768,Negative
P49773,Negative
P49821,Negative
P49908,Negative
P49913,Negative
P49915,Negative
P50053,Negative
P50135,Negative
P50238,Negative
P50281,Negative
P50395,Negative
P50453,Negative
P50502,Negative
P50570,Negative
P50895,Negative
P50897,Negative
P50990,Negative
P50993,Negative
P50995,Negative
P51149,Negative
P51161,Negative
P51398,Negative
P51511,Negative
P51512,Negative
P51659,Negative
P51665,Negative
P51674,Negative
P51693,Negative
P51805,Negative
P51884,Negative
P51888,Negative
P51970,Negative
P51991,Negative
P52209,Negative
P52272,Negative
P52565,Negative
P52566,Negative
P52597,Negative
P52735,Negative
P52758,Negative
P52799,Negative
P52803,Negative
P52823,Negative
P52848,Negative
P52895,Negative
P52907,Negative
P52943,Negative
P53004,Negative
P53007,Negative
P53041,Negative
P53396,Negative
P53618,Negative
P53634,Negative
P53990,Negative
P54108,Negative
P54289,Negative
P54296,Negative
P54578,Negative
P54652,Negative
P54709,Negative
P54727,Negative
P54753,Negative
P54756,Negative
P54760,Negative
P54762,Negative
P54764,Negative
P54802,Negative
P54803,Negative
P54826,Negative
P54920,Negative
P55000,Negative
P55011,Negative
P55058,Negative
P55060,Negative
P55072,Negative
P55083,Negative
P55087,Negative
P55103,Negative
P55107,Negative
P55196,Negative
P55199,Negative
P55209,Negative
P55268,Negative
P55283,Negative
P55285,Negative
P55286,Negative
P55287,Negative
P55289,Negative
P55290,Negative
P55291,Negative
P55327,Negative
P55774,Negative
P55786,Negative
P55854;P61956;Q6EEV6,Negative
P55884,Negative
P55899,Negative
P55957,Negative
P56159,Negative
P56182,Negative
P56192,Negative
P56199,Negative
P56277,Negative
P56537,Negative
P56705,Negative
P56817,Negative
P56975,Negative
P57087,Negative
P57730,Negative
P58215,Negative
P58335,Negative
P58417,Negative
P58499,Negative
P58546,Negative
P59045,Negative
P59190,Negative
P59539,Negative
P59665,Negative
P59666,Negative
P60022,Negative
P60033,Negative
P60174,Negative
P60520,Negative
P60660,Negative
P60709;P63261,Negative
P60880,Negative
P60900,Negative
P60981,Negative
P60983,Negative
P61006,Negative
P61018,Negative
P61019,Negative
P61026,Negative
P61077,Negative
P61086,Negative
P61088,Negative
P61106,Negative
P61158,Negative
P61160,Negative
P61204;P84077,Negative
P61224;P62834,Negative
P61266,Negative
P61278,Negative
P61326;Q96A72,Negative
P61353,Negative
P61457,Negative
P61586,Negative
P61604,Negative
P61626,Negative
P61764,Negative
P61769,Negative
P61916,Negative
P61970,Negative
P61978,Negative
P61981,Negative
P62081,Negative
P62244,Negative
P62258,Negative
P62273,Negative
P62277,Negative
P62314,Negative
P62318,Negative
P62328,Negative
P62491;Q15907,Negative
P62714;P67775,Negative
P62760,Negative
P62805,Negative
P62826,Negative
P62837,Negative
P62841,Negative
P62857,Negative
P62873,Negative
P62879,Negative
P62888,Negative
P62891;Q59GN2,Negative
P62910,Negative
P62937,Negative
P62942,Negative
P62993,Negative
P63000,Negative
P63010,Negative
P63027,Negative
P63104,Negative
P63208,Negative
P63218,Negative
P63241,Negative
P63244,Negative
P63313,Negative
P63316,Negative
P67809,Negative
P67812,Negative
P67936,Negative
P68036,Negative
P68104,Negative
P68133,Negative
P68363,Negative
P68400,Negative
P68402,Negative
P68871,Negative
P69849;Q15155;Q5JPE7,Negative
P69905,Negative
P78310,Negative
P78324,Negative
P78332,Negative
P78333,Negative
P78371,Negative
P78380,Negative
P78395,Negative
P78410,Negative
P78417,Negative
P78423,Negative
P78504,Negative
P78509,Negative
P78536,Negative
P78539,Negative
P80108,Negative
P80188,Negative
P80303,Negative
P80370,Negative
P80723,Negative
P80748,Negative
P81172,Negative
P81605,Negative
P82987,Negative
P86452,Negative
P98066,Negative
P98095,Negative
